,ell,Cl
2250,2250,2.3765191494342094e-09
2251,2251,2.113541391797532e-09
2252,2252,2.1415556722049646e-09
2253,2253,2.280767309619101e-09
2254,2254,2.2040187855818933e-09
2255,2255,2.2874583753415265e-09
2256,2256,2.3983561185392467e-09
2257,2257,2.1985970158462123e-09
2258,2258,2.36394001664934e-09
2259,2259,2.1930311232747392e-09
2260,2260,2.2792091425285397e-09
2261,2261,2.076905948900324e-09
2262,2262,2.3593298873330027e-09
2263,2263,2.1407712817109145e-09
2264,2264,2.34090319633092e-09
2265,2265,2.2323534760942577e-09
2266,2266,2.512994357223992e-09
2267,2267,2.0867102189181812e-09
2268,2268,2.232866219446702e-09
2269,2269,2.276733881072955e-09
2270,2270,2.295254499836958e-09
2271,2271,2.2889671994470096e-09
2272,2272,2.453106994997769e-09
2273,2273,2.3401889114074506e-09
2274,2274,2.3320127366552504e-09
2275,2275,2.1600088220957328e-09
2276,2276,2.2500789077633616e-09
2277,2277,2.2376875254477905e-09
2278,2278,2.3994204174019185e-09
2279,2279,2.3095134646130998e-09
2280,2280,2.3704825758253015e-09
2281,2281,2.2539313209369235e-09
2282,2282,1.9991032394742016e-09
2283,2283,2.1885300193832175e-09
2284,2284,2.1886135665009486e-09
2285,2285,2.2124332191715425e-09
2286,2286,2.0670204654026455e-09
2287,2287,2.1115652565193803e-09
2288,2288,2.1380977398649745e-09
2289,2289,2.206923493765464e-09
2290,2290,2.124504459230079e-09
2291,2291,2.1336316069377163e-09
2292,2292,2.1421533358890237e-09
2293,2293,2.173033266655305e-09
2294,2294,2.1271753012653566e-09
2295,2295,2.236847001694158e-09
2296,2296,2.191421415473178e-09
2297,2297,2.359552407613441e-09
2298,2298,2.0599404477364595e-09
2299,2299,2.494773874545556e-09
2300,2300,2.2591207819898716e-09
2301,2301,2.114187202930563e-09
2302,2302,2.055092227395659e-09
2303,2303,1.9962761132856945e-09
2304,2304,2.170455300597242e-09
2305,2305,2.1715632100364666e-09
2306,2306,2.2044266523569455e-09
2307,2307,2.3125020096344835e-09
2308,2308,2.1750614501361545e-09
2309,2309,2.166807481622604e-09
2310,2310,2.383075593369452e-09
2311,2311,2.036569244206454e-09
2312,2312,2.0551164082347235e-09
2313,2313,2.228859040286401e-09
2314,2314,1.993451742373701e-09
2315,2315,2.2171176309621276e-09
2316,2316,2.1140335206827796e-09
2317,2317,2.16614608755721e-09
2318,2318,2.2392582128797934e-09
2319,2319,2.190123142129493e-09
2320,2320,2.198406183834657e-09
2321,2321,2.1456045013124907e-09
2322,2322,2.2226065965711786e-09
2323,2323,2.3646413986795652e-09
2324,2324,2.32580116562193e-09
