ell,kap_cl
2096,2.940715071995799e-09
2097,3.0813559502376235e-09
2098,2.9992438476759187e-09
2099,2.9361842625054354e-09
2100,3.2080393930892677e-09
2101,2.8756051886550623e-09
2102,2.9267978990664535e-09
2103,3.222576851625338e-09
2104,3.0243384640052008e-09
2105,3.0893744875364055e-09
2106,3.065100650619587e-09
2107,3.0208114761869687e-09
2108,3.116656972893854e-09
2109,2.9954334910374333e-09
2110,3.072708445669443e-09
2111,2.963453461586071e-09
2112,3.004600453111103e-09
2113,3.0775316440751074e-09
2114,3.039604592891826e-09
2115,3.039356459338784e-09
2116,3.1160015788646173e-09
2117,3.0158077057685043e-09
2118,3.1127316837844124e-09
2119,3.0068810514999557e-09
2120,3.0790697703423128e-09
2121,2.8230421128736816e-09
2122,2.985066295311389e-09
2123,3.016636594459886e-09
2124,3.0010021886635664e-09
2125,3.085562584366062e-09
2126,3.0101182436769646e-09
2127,3.016575816394628e-09
2128,2.9790872273860164e-09
2129,3.0256118005988577e-09
2130,3.1754256410952327e-09
2131,3.0858496301022725e-09
2132,2.9994392516994404e-09
2133,3.067881974700244e-09
2134,3.0434582950219e-09
2135,2.9212716067610657e-09
2136,2.9226727460152115e-09
2137,3.043374028277982e-09
2138,2.910597502271656e-09
2139,3.078361686527809e-09
2140,3.0101115787124082e-09
2141,3.0030956767302037e-09
2142,2.9591023658952166e-09
2143,2.9289152290318843e-09
2144,2.9501997176853704e-09
2145,3.0377178842922706e-09
2146,2.952972056653166e-09
2147,3.0428218434232183e-09
2148,3.0134220732881774e-09
2149,2.914133153098452e-09
2150,3.0305590321826033e-09
2151,2.8942074752182178e-09
2152,2.911145836120589e-09
2153,2.9987902661159597e-09
2154,2.950080508925091e-09
2155,2.9536560329045846e-09
2156,3.028163816443186e-09
2157,2.996151442093092e-09
2158,2.9901102796406716e-09
2159,2.9299459473968413e-09
2160,2.966517699117664e-09
2161,2.8759924687431724e-09
2162,3.045291005866712e-09
2163,2.864265612250693e-09
2164,2.9420699048049676e-09
2165,2.9080252286741556e-09
2166,2.846841288085364e-09
2167,2.9307659655989428e-09
2168,2.90163847291751e-09
2169,2.990105189479979e-09
2170,3.014786760328874e-09
2171,2.81319477660003e-09
2172,2.930914666858333e-09
2173,2.8922300323313357e-09
2174,2.832877812500734e-09
2175,2.804263047637934e-09
2176,2.9249715288152475e-09
2177,2.8336839255855443e-09
2178,2.9014405569178807e-09
2179,2.895667350263748e-09
2180,2.8487701925844283e-09
2181,2.8494335349470446e-09
2182,2.766199734051877e-09
2183,2.929454909938114e-09
2184,2.7739741065632043e-09
2185,2.8875252733746277e-09
2186,2.874647083200441e-09
2187,2.897200288619682e-09
2188,2.8871684183698355e-09
2189,2.8687732302174814e-09
2190,2.8667506876429855e-09
2191,2.9108170131635334e-09
2192,2.8694455095573826e-09
2193,2.898660574113479e-09
2194,2.8675164277181305e-09
2195,2.9394093506195145e-09
2196,2.839026762907532e-09
2197,2.7977835730005284e-09
2198,2.7653499148199152e-09
2199,2.8571701871425015e-09
2200,2.88227531468709e-09
2201,2.8969471012139776e-09
2202,2.8369379443369264e-09
2203,2.925093181602016e-09
2204,2.8706131554333516e-09
2205,2.8015625981795525e-09
2206,2.8727471963955365e-09
2207,2.8536770278100065e-09
2208,2.8189706523401726e-09
2209,2.798314063600015e-09
2210,2.8557199684427103e-09
2211,2.9535027117923644e-09
2212,2.816657918799487e-09
2213,2.86159775907658e-09
2214,2.7994527192447655e-09
2215,2.8735000244411047e-09
2216,2.7694258280416076e-09
2217,2.7482191543149537e-09
2218,2.9712144237225307e-09
2219,2.8825991903465327e-09
2220,2.8096103155756024e-09
2221,2.8564695203566692e-09
2222,2.716670458670536e-09
2223,2.7698834200882448e-09
2224,2.7090609369652743e-09
2225,2.96118638054521e-09
2226,2.8993404310337695e-09
2227,2.729753011979733e-09
2228,2.746044889258483e-09
2229,2.7326305698089764e-09
2230,2.871648711924685e-09
2231,2.792325097710426e-09
2232,2.7903635848323743e-09
2233,2.977656070416731e-09
2234,2.793841443684173e-09
2235,2.8414508237896716e-09
2236,2.8365669926311344e-09
2237,2.8080294770445437e-09
2238,2.7373596301999506e-09
2239,2.793538072039007e-09
2240,2.8216887493209207e-09
2241,2.770945088995053e-09
2242,2.7580398936158954e-09
2243,2.8433860305358777e-09
2244,2.7737311985541603e-09
2245,2.837578846643119e-09
2246,2.7258042544341463e-09
2247,2.83410496756105e-09
2248,2.6822126845006226e-09
2249,2.676639532099385e-09
2250,2.712089926662322e-09
2251,2.776163309595031e-09
2252,2.8206379081531785e-09
2253,2.6655744620872604e-09
2254,2.8130084475850684e-09
2255,2.710668883965738e-09
2256,2.720815475151703e-09
2257,2.8310411223881575e-09
2258,2.8203627478274904e-09
2259,2.7615544348398647e-09
2260,2.6367379216916737e-09
2261,2.840990813437153e-09
2262,2.683836687946133e-09
2263,2.6456487256749263e-09
2264,2.6906073659744335e-09
2265,2.754032201948526e-09
2266,2.6729984479174517e-09
2267,2.7265695509208178e-09
2268,2.7680864807969953e-09
2269,2.605859017419773e-09
2270,2.675890644127792e-09
2271,2.743263349689101e-09
2272,2.7347229806696774e-09
2273,2.6050852655512274e-09
2274,2.7841383226823824e-09
2275,2.715471300430648e-09
2276,2.6538047940277787e-09
2277,2.7120785449839407e-09
2278,2.7523157921808525e-09
2279,2.774830915639277e-09
2280,2.6804241052205968e-09
2281,2.7232050602393576e-09
2282,2.733042642414536e-09
2283,2.709101140694347e-09
2284,2.6554636369603395e-09
2285,2.7404498222177937e-09
2286,2.6630437715388037e-09
2287,2.6819152851347624e-09
2288,2.6855756381014904e-09
2289,2.6395311193091134e-09
2290,2.6514966996091493e-09
2291,2.692079343956601e-09
2292,2.648984088830699e-09
2293,2.7104545146158803e-09
2294,2.6388872900826344e-09
2295,2.7325666729944274e-09
2296,2.6418258934469003e-09
2297,2.684231871276656e-09
2298,2.6729059151256576e-09
2299,2.6107882503755897e-09
2300,2.7215445984750226e-09
2301,2.6401820283134867e-09
2302,2.582397433880412e-09
2303,2.6217474435153337e-09
2304,2.6973533770227786e-09
2305,2.6740703909834672e-09
2306,2.66784700909525e-09
2307,2.646475748865655e-09
2308,2.620627402032789e-09
2309,2.5570037708498687e-09
2310,2.6491368378974663e-09
2311,2.6640437531410796e-09
2312,2.7231875345762774e-09
2313,2.6477047998102817e-09
2314,2.615008079992693e-09
2315,2.6848999182703403e-09
2316,2.726821800198964e-09
2317,2.5232399948290103e-09
2318,2.6076472642922513e-09
2319,2.582339873687379e-09
2320,2.6195911414880344e-09
2321,2.6818045706385788e-09
2322,2.6596602039027634e-09
2323,2.6770546782184334e-09
2324,2.6626427269654906e-09
2325,2.6940956842719997e-09
2326,2.650339536139471e-09
2327,2.60220719544711e-09
2328,2.6263782211423308e-09
2329,2.549444381136304e-09
2330,2.6185817754112717e-09
2331,2.577878077076342e-09
2332,2.620462126116227e-09
2333,2.602935404668725e-09
2334,2.756526974994118e-09
2335,2.6308184009756195e-09
2336,2.6211430453380548e-09
2337,2.571892867022571e-09
2338,2.640805808266637e-09
2339,2.622678311188716e-09
2340,2.483987941061541e-09
2341,2.678332275802438e-09
2342,2.6374668883897205e-09
2343,2.5701937370949375e-09
2344,2.569211629339503e-09
2345,2.6469808471444106e-09
2346,2.496330773999419e-09
2347,2.576398629960989e-09
2348,2.573165431602742e-09
2349,2.7151130004486812e-09
2350,2.5916563822061917e-09
